GRU V2
Métrica,Valor Estadístico
MAE Medio,48.94
RMSE Medio,61.75
MAPE Medio,4.39%
Desviación Típica (σ),± 0.62%
Mejor MAPE (Semilla 9999),3.09%
Peor MAPE (Semilla 9876),5.24%

Seed,MAE,RMSE,MAPE
40,37.88,53.34,3.16%
121,43.35,56.01,3.80%
800,50.22,62.08,4.46%
3123,49.68,62.07,4.56%
46291,48.73,58.70,4.52%
1234,48.89,62.08,4.38%
5555,46.53,63.16,4.04%
9999,37.10,54.15,3.09%
42,40.26,52.89,3.54%
777,50.55,64.10,4.47%
10101,46.27,58.92,4.14%
2024,56.06,67.63,5.14%
8888,55.81,67.98,5.10%
3333,52.38,63.95,4.75%
1111,55.17,66.01,5.03%
2222,49.02,61.03,4.44%
6666,57.45,69.77,5.21%
7654,45.83,59.44,4.08%
9876,57.50,70.82,5.24%
54321,50.19,60.87,4.66%
