LSTM V3
Métrica,Valor Estadístico
MAE Medio,56.65
RMSE Medio,71.13
MAPE Medio,5.06%
Desviación Típica (σ),± 0.55%
Mejor MAPE (Semilla 9876),4.17%
Peor MAPE (Semilla 46291),6.10%

Seed,MAE,RMSE,MAPE
40,59.42,73.34,5.32%
121,54.81,65.96,5.16%
800,61.75,77.52,5.49%
3123,53.79,69.51,4.66%
46291,67.48,85.88,6.10%
1234,54.59,67.30,4.98%
5555,57.89,71.77,5.20%
9999,63.15,75.78,5.77%
42,61.94,73.68,5.70%
777,57.70,72.37,5.15%
10101,54.15,68.88,4.86%
2024,48.72,63.84,4.21%
8888,52.86,67.05,4.72%
3333,61.59,74.01,5.75%
1111,62.12,77.92,5.50%
2222,58.62,72.28,5.22%
6666,49.17,67.07,4.21%
7654,50.37,63.49,4.48%
9876,47.17,61.33,4.17%
54321,51.36,63.72,4.59%
